year,yearly_workbook_rows_papers_total,yearly_workbook_rows_figures_total,yearly_workbook_rows_figures_sbol_visual_compatible,yearly_workbook_rows_figures_sbol_visual_compliant,yearly_workbook_rows_figures_best_practices,yearly_workbook_cached_summary_papers_total,yearly_workbook_cached_summary_figures_total,yearly_workbook_cached_summary_figures_sbol_visual_compatible,yearly_workbook_cached_summary_figures_sbol_visual_compliant,yearly_workbook_cached_summary_figures_best_practices,website_headline_papers_total,website_headline_figures_total,website_headline_figures_sbol_visual_compatible,website_headline_figures_sbol_visual_compliant,website_headline_figures_best_practices,overview_workbook_papers_total,overview_workbook_figures_total,overview_workbook_figures_sbol_visual_compatible,overview_workbook_figures_sbol_visual_compliant,overview_workbook_figures_best_practices,cached_summary_minus_yearly_papers_total,cached_summary_minus_yearly_figures_total,cached_summary_minus_yearly_figures_sbol_visual_compatible,cached_summary_minus_yearly_figures_sbol_visual_compliant,cached_summary_minus_yearly_figures_best_practices,website_minus_yearly_papers_total,website_minus_yearly_figures_total,website_minus_yearly_figures_sbol_visual_compatible,website_minus_yearly_figures_sbol_visual_compliant,website_minus_yearly_figures_best_practices,overview_minus_yearly_papers_total,overview_minus_yearly_figures_total,overview_minus_yearly_figures_sbol_visual_compatible,overview_minus_yearly_figures_sbol_visual_compliant,overview_minus_yearly_figures_best_practices,website_matches_yearly_workbook,cached_summary_matches_yearly_workbook,overview_matches_yearly_workbook
2012,63,340,87,36,18,63,340,87,36,18,63,340,87,36,18,63,340,87,36,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True
2013,80,408,99,61,36,80,408,99,61,36,80,408,99,61,36,80,408,99,61,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True
2014,118,531,113,53,27,117,445,84,44,22,118,531,113,53,27,117,445,84,44,22,-1,-86,-29,-9,-5,0,0,0,0,0,-1,-86,-29,-9,-5,True,False,False
2015,145,743,177,107,38,145,743,177,107,38,145,743,177,107,38,145,743,177,107,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True
2016,169,886,217,136,90,169,886,217,136,90,169,886,217,136,90,169,886,217,136,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True
2017,242,1266,285,187,115,242,1266,285,187,115,242,1266,285,187,115,242,1266,285,187,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True
2018,305,1615,429,242,98,305,1615,429,242,98,305,1615,429,242,98,305,1615,429,242,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True
2019,287,1512,432,219,126,286,1512,432,219,126,287,1512,432,219,126,286,1512,432,219,126,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,True,False,False
2020,329,1744,441,330,149,311,1649,405,308,139,302,1455,339,275,128,311,1649,405,308,139,-18,-95,-36,-22,-10,-27,-289,-102,-55,-21,-18,-95,-36,-22,-10,False,False,False
2021,327,1759,457,382,262,314,1679,452,377,260,327,1759,457,382,262,314,1679,452,377,260,-13,-80,-5,-5,-2,0,0,0,0,0,-13,-80,-5,-5,-2,True,False,False
2022,393,2068,595,487,245,355,1872,554,448,222,393,2068,595,487,245,355,1872,554,448,222,-38,-196,-41,-39,-23,0,0,0,0,0,-38,-196,-41,-39,-23,True,False,False
2023,344,1766,378,279,138,331,1714,376,278,137,344,1766,378,279,138,331,1714,376,278,137,-13,-52,-2,-1,-1,0,0,0,0,0,-13,-52,-2,-1,-1,True,False,False
