record_id,doi,year,pdf_path,pdf_is_version_of_record,page_count,scoped_first_page,scoped_last_page,predicted_figures_total,historical_figures_total,count_error,exact,figure_numbers,missing_figure_numbers,contiguous,census_error
doi:10.1021/sb200001q,10.1021/sb200001q,2012,data/papers/2012/10.1021__sb200001q/publisher/paper.pdf,True,8,1,8,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb200002m,10.1021/sb200002m,2012,data/papers/2012/10.1021__sb200002m/publisher/paper.pdf,True,10,1,10,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb200003v,10.1021/sb200003v,2012,data/papers/2012/10.1021__sb200003v/publisher/paper.pdf,True,7,1,7,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb200005w,10.1021/sb200005w,2012,data/papers/2012/10.1021__sb200005w/paper.pdf,True,6,1,6,3,3,0,True,1 2 3,,True,
doi:10.1021/sb2000066,10.1021/sb2000066,2012,data/papers/2012/10.1021__sb2000066/publisher/paper.pdf,True,5,1,5,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb200007r,10.1021/sb200007r,2012,data/papers/2012/10.1021__sb200007r/publisher/paper.pdf,True,7,1,7,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb200008j,10.1021/sb200008j,2012,data/papers/2012/10.1021__sb200008j/publisher/paper.pdf,True,8,1,8,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb200010w,10.1021/sb200010w,2012,data/papers/2012/10.1021__sb200010w/publisher/paper.pdf,True,8,1,8,6,6,0,True,1 2 3 4 5 6,,True,
doi:10.1021/sb2000116,10.1021/sb2000116,2012,data/papers/2012/10.1021__sb2000116/publisher/paper.pdf,True,8,1,8,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb200013j,10.1021/sb200013j,2012,data/papers/2012/10.1021__sb200013j/publisher/paper.pdf,True,7,1,7,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb200015u,10.1021/sb200015u,2012,data/papers/2012/10.1021__sb200015u/paper.pdf,True,12,1,12,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb200016s,10.1021/sb200016s,2012,data/papers/2012/10.1021__sb200016s/publisher/paper.pdf,True,13,1,13,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb200017p,10.1021/sb200017p,2012,data/papers/2012/10.1021__sb200017p/publisher/paper.pdf,True,9,1,9,7,7,0,True,1 2 3 4 5 6 7,,True,
doi:10.1021/sb200018e,10.1021/sb200018e,2012,data/papers/2012/10.1021__sb200018e/publisher/paper.pdf,True,9,1,9,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb200019x,10.1021/sb200019x,2012,data/papers/2012/10.1021__sb200019x/publisher/paper.pdf,True,12,1,12,10,10,0,True,1 2 3 4 5 6 7 8 9 10,,True,
doi:10.1021/sb200021s,10.1021/sb200021s,2012,data/papers/2012/10.1021__sb200021s/publisher/paper.pdf,True,9,1,9,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb2000275,10.1021/sb2000275,2012,data/papers/2012/10.1021__sb2000275/publisher/paper.pdf,True,9,1,9,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb2000287,10.1021/sb2000287,2012,data/papers/2012/10.1021__sb2000287/publisher/paper.pdf,True,2,1,2,0,0,0,True,,,True,
doi:10.1021/sb200029a,10.1021/sb200029a,2012,data/papers/2012/10.1021__sb200029a/publisher/paper.pdf,True,7,1,7,5,5,0,True,1 2 3 4 5,,True,
doi:10.1021/sb3000029,10.1021/sb3000029,2012,data/papers/2012/10.1021__sb3000029/publisher/paper.pdf,True,10,1,10,3,3,0,True,1 2 3,,True,
doi:10.1021/sb3000035,10.1021/sb3000035,2012,data/papers/2012/10.1021__sb3000035/publisher/paper.pdf,True,8,1,8,4,4,0,True,1 2 3 4,,True,
doi:10.1021/sb3000063,10.1021/sb3000063,2012,data/papers/2012/10.1021__sb3000063/publisher/paper.pdf,True,11,1,11,8,8,0,True,1 2 3 4 5 6 7 8,,True,
doi:10.1021/sb300009t,10.1021/sb300009t,2012,data/papers/2012/10.1021__sb300009t/publisher/paper.pdf,True,10,1,10,6,6,0,True,1 2 3 4 5 6,,True,
