record_id,doi,year,title,has_local_article_pdf,has_local_article_text,has_local_source,has_verified_local_article_pdf,has_verified_local_article_text,has_verified_local_source,has_local_version_of_record_pdf,article_pdf_count,verified_article_pdf_count,verified_article_text_count,version_of_record_pdf_count,preferred_pdf_path,preferred_pdf_is_version_of_record,article_pdf_paths_json,verified_article_pdf_paths_json,version_of_record_pdf_paths_json,article_text_paths_json,verified_article_text_paths_json,article_artifacts_json,verified_article_artifact_count,invalid_artifact_count,unverified_artifact_count,artifact_issues_json,source_versions_json,pmcid,pmc_status,pmc_media_count,pmc_image_count,pmc_media_paths_json,figures_total,figures_sbol_visual_compatible,figures_sbol_visual_compliant,figures_best_practices,has_compatible_figures,all_compatible_figures_compliant
doi:10.1021/sb2000287,10.1021/sb2000287,2012,The Organism Is the Product,True,False,True,True,False,True,True,1,1,0,1,data/papers/2012/10.1021__sb2000287/publisher/paper.pdf,True,"[""data/papers/2012/10.1021__sb2000287/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb2000287/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb2000287/publisher/paper.pdf""]",[],[],"[{""path"": ""data/papers/2012/10.1021__sb2000287/publisher/paper.pdf"", ""source"": ""ACS Publications via CU Boulder EZproxy"", ""version"": ""publishedVersion"", ""hash"": ""45a852a99bd40b27422ad0e0e29dee27441c45c5ef4e97e5f842c3d22fa24f76"", ""hash_algorithm"": ""sha256"", ""md5"": ""d4a37314098a6077d4ef106ec9844bb2"", ""bytes"": 147747, ""kind"": ""article_pdf"", ""is_version_of_record"": true, ""source_url"": ""https://pubs-acs-org.colorado.idm.oclc.org/doi/pdf/10.1021/sb2000287"", ""provenance_path"": ""data/papers/2012/10.1021__sb2000287/publisher.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}]",1,0,0,[],"[""publishedVersion""]",,,0,0,[],0,0,0,0,False,False
doi:10.1021/sb200001q,10.1021/sb200001q,2012,Engineering Artificial Small RNAs for Conditional Gene Silencing in Escherichia coli,True,False,True,True,False,True,True,1,1,0,1,data/papers/2012/10.1021__sb200001q/publisher/paper.pdf,True,"[""data/papers/2012/10.1021__sb200001q/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200001q/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200001q/publisher/paper.pdf""]",[],[],"[{""path"": ""data/papers/2012/10.1021__sb200001q/publisher/paper.pdf"", ""source"": ""ACS Publications via CU Boulder EZproxy"", ""version"": ""publishedVersion"", ""hash"": ""b54895d5bccb05b6663bfc638c170a6c3cf464c3d94585482bb15bbd5ba71af4"", ""hash_algorithm"": ""sha256"", ""md5"": ""06499b2b6813ff91b544e1b34dd264a9"", ""bytes"": 2966420, ""kind"": ""article_pdf"", ""is_version_of_record"": true, ""source_url"": ""https://pubs-acs-org.colorado.idm.oclc.org/doi/pdf/10.1021/sb200001q"", ""provenance_path"": ""data/papers/2012/10.1021__sb200001q/publisher.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}]",1,0,0,[],"[""publishedVersion""]",,,0,0,[],4,1,1,0,True,True
doi:10.1021/sb2000116,10.1021/sb2000116,2012,j5 DNA Assembly Design Automation Software,True,False,True,True,False,True,True,1,1,0,1,data/papers/2012/10.1021__sb2000116/publisher/paper.pdf,True,"[""data/papers/2012/10.1021__sb2000116/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb2000116/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb2000116/publisher/paper.pdf""]",[],[],"[{""path"": ""data/papers/2012/10.1021__sb2000116/publisher/paper.pdf"", ""source"": ""ACS Publications via CU Boulder EZproxy"", ""version"": ""publishedVersion"", ""hash"": ""7c7306962c59df7bc4d4d23166888757a7df9514f04c93a0a8e30f91f755e583"", ""hash_algorithm"": ""sha256"", ""md5"": ""3217e913f35406cb341304f9b03befbc"", ""bytes"": 2531490, ""kind"": ""article_pdf"", ""is_version_of_record"": true, ""source_url"": ""https://pubs-acs-org.colorado.idm.oclc.org/doi/pdf/10.1021/sb2000116"", ""provenance_path"": ""data/papers/2012/10.1021__sb2000116/publisher.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}]",1,0,0,[],"[""publishedVersion""]",,,0,0,[],5,3,3,1,True,True
doi:10.1021/sb200013j,10.1021/sb200013j,2012,Cloning the Acholeplasma laidlawii PG-8A Genome in Saccharomyces cerevisiae as a Yeast Centromeric Plasmid,True,False,True,True,False,True,True,1,1,0,1,data/papers/2012/10.1021__sb200013j/publisher/paper.pdf,True,"[""data/papers/2012/10.1021__sb200013j/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200013j/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200013j/publisher/paper.pdf""]",[],[],"[{""path"": ""data/papers/2012/10.1021__sb200013j/publisher/paper.pdf"", ""source"": ""ACS Publications via CU Boulder EZproxy"", ""version"": ""publishedVersion"", ""hash"": ""5a6f46cae15ff7689ddd4070414ad52cbb8cedae6b44fa76d03f53046ff76e1e"", ""hash_algorithm"": ""sha256"", ""md5"": ""f0f31cceab65197bc83d7077613b6c72"", ""bytes"": 3433543, ""kind"": ""article_pdf"", ""is_version_of_record"": true, ""source_url"": ""https://pubs-acs-org.colorado.idm.oclc.org/doi/pdf/10.1021/sb200013j"", ""provenance_path"": ""data/papers/2012/10.1021__sb200013j/publisher.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}]",1,0,0,[],"[""publishedVersion""]",,,0,0,[],5,2,0,0,True,False
doi:10.1021/sb200016s,10.1021/sb200016s,2012,An E. coli Cell-Free Expression Toolbox: Application to Synthetic Gene Circuits and Artificial Cells,True,False,True,True,False,True,True,1,1,0,1,data/papers/2012/10.1021__sb200016s/publisher/paper.pdf,True,"[""data/papers/2012/10.1021__sb200016s/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200016s/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200016s/publisher/paper.pdf""]",[],[],"[{""path"": ""data/papers/2012/10.1021__sb200016s/publisher/paper.pdf"", ""source"": ""ACS Publications via CU Boulder EZproxy"", ""version"": ""publishedVersion"", ""hash"": ""35cd5c5eebc5493d329d8292c37c28643b16920cfd9ee7d39240722abad3cf96"", ""hash_algorithm"": ""sha256"", ""md5"": ""12dbfad8a25a359f2ec9cfe00583792d"", ""bytes"": 3870147, ""kind"": ""article_pdf"", ""is_version_of_record"": true, ""source_url"": ""https://pubs-acs-org.colorado.idm.oclc.org/doi/pdf/10.1021/sb200016s"", ""provenance_path"": ""data/papers/2012/10.1021__sb200016s/publisher.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}]",1,0,0,[],"[""publishedVersion""]",,,0,0,[],8,7,0,0,True,False
doi:10.1021/sb3000029,10.1021/sb3000029,2012,Multiplexed in Vivo His-Tagging of Enzyme Pathways for in Vitro Single-Pot Multienzyme Catalysis,True,True,True,True,True,True,True,2,1,2,1,data/papers/2012/10.1021__sb3000029/publisher/paper.pdf,True,"[""data/papers/2012/10.1021__sb3000029/publisher/paper.pdf"", ""data/papers/2012/10.1021__sb3000029/versions/pmc_author_manuscript/paper__5713df0a56ca.pdf""]","[""data/papers/2012/10.1021__sb3000029/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb3000029/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb3000029/pmc/PMC3377159.1.txt"", ""data/papers/2012/10.1021__sb3000029/pmc/PMC3377159.1.xml""]","[""data/papers/2012/10.1021__sb3000029/pmc/PMC3377159.1.txt"", ""data/papers/2012/10.1021__sb3000029/pmc/PMC3377159.1.xml""]","[{""path"": ""data/papers/2012/10.1021__sb3000029/pmc/PMC3377159.1.txt"", ""source"": ""NIH NLM PubMed Central Article Datasets"", ""version"": ""author_manuscript"", ""hash"": ""f5ba8f06e69a18eba826adb8fcba75d701300e4b8908575a137057f14d5938be"", ""hash_algorithm"": ""sha256"", ""md5"": ""d617a0d2b8d1ce330485265a2d080b19"", ""bytes"": 54459, ""kind"": ""article_text"", ""is_version_of_record"": false, ""source_url"": ""s3://pmc-oa-opendata/PMC3377159.1/PMC3377159.1.txt?md5=d617a0d2b8d1ce330485265a2d080b19"", ""provenance_path"": ""data/papers/2012/10.1021__sb3000029/pmc.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}, {""path"": ""data/papers/2012/10.1021__sb3000029/pmc/PMC3377159.1.xml"", ""source"": ""NIH NLM PubMed Central Article Datasets"", ""version"": ""author_manuscript"", ""hash"": ""663d21fe5319c369c2c120d219e4c1e7d93682b82f05d2d45e1da4ee5a9b2449"", ""hash_algorithm"": ""sha256"", ""md5"": ""d88dbc33b07231df58b766a58b54b615"", ""bytes"": 141518, ""kind"": ""article_xml"", ""is_version_of_record"": false, ""source_url"": ""s3://pmc-oa-opendata/PMC3377159.1/PMC3377159.1.xml?md5=d88dbc33b07231df58b766a58b54b615"", ""provenance_path"": ""data/papers/2012/10.1021__sb3000029/pmc.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}, {""path"": ""data/papers/2012/10.1021__sb3000029/publisher/paper.pdf"", ""source"": ""ACS Publications via CU Boulder EZproxy"", ""version"": ""publishedVersion"", ""hash"": ""bffc230699c22e944214b34dea18609a18962dc6bae7a4295d3f5d4251aad53a"", ""hash_algorithm"": ""sha256"", ""md5"": ""efcf878394963e4348fa8864f79f3ac8"", ""bytes"": 5017248, ""kind"": ""article_pdf"", ""is_version_of_record"": true, ""source_url"": ""https://pubs-acs-org.colorado.idm.oclc.org/doi/pdf/10.1021/sb3000029"", ""provenance_path"": ""data/papers/2012/10.1021__sb3000029/publisher.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}, {""path"": ""data/papers/2012/10.1021__sb3000029/versions/pmc_author_manuscript/paper__5713df0a56ca.pdf"", ""source"": ""NIH NLM PubMed Central public article page"", ""version"": ""author_manuscript"", ""hash"": ""5713df0a56ca3366a0d10804db04f9a62119bc114fbc1d2e41171bff23d09a3e"", ""hash_algorithm"": ""sha256"", ""md5"": ""bfb1dd6b91b282e8020494f58932bcf3"", ""bytes"": 1126934, ""kind"": ""article_pdf"", ""is_version_of_record"": false, ""source_url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC3377159/pdf/nihms355213.pdf"", ""provenance_path"": ""data/papers/2012/10.1021__sb3000029/versions/pmc_author_manuscript/metadata__5713df0a56ca.json"", ""verification_status"": ""unverified"", ""verification_errors"": [""The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.""], ""local_file_present"": true}]",3,0,1,"[{""path"": ""data/papers/2012/10.1021__sb3000029/versions/pmc_author_manuscript/paper__5713df0a56ca.pdf"", ""kind"": ""article_pdf"", ""verification_status"": ""unverified"", ""verification_errors"": [""The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.""], ""provenance_path"": ""data/papers/2012/10.1021__sb3000029/versions/pmc_author_manuscript/metadata__5713df0a56ca.json""}]","[""author_manuscript"", ""publishedVersion""]",PMC3377159,author_manuscript_text_already_present,0,0,[],3,0,0,0,False,False
doi:10.1021/sb200003v,10.1021/sb200003v,2012,Assembly of MreB Filaments on Liposome Membranes: A Synthetic Biology Approach,True,False,True,True,False,True,True,1,1,0,1,data/papers/2012/10.1021__sb200003v/publisher/paper.pdf,True,"[""data/papers/2012/10.1021__sb200003v/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200003v/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200003v/publisher/paper.pdf""]",[],[],"[{""path"": ""data/papers/2012/10.1021__sb200003v/publisher/paper.pdf"", ""source"": ""ACS Publications via CU Boulder EZproxy"", ""version"": ""publishedVersion"", ""hash"": ""30edf8db526d7cdc8fd48e13d3ec0c59e53dfa18efda483f7f1504099cee3fb4"", ""hash_algorithm"": ""sha256"", ""md5"": ""6175d49e364640903481444016744ba2"", ""bytes"": 5888018, ""kind"": ""article_pdf"", ""is_version_of_record"": true, ""source_url"": ""https://pubs-acs-org.colorado.idm.oclc.org/doi/pdf/10.1021/sb200003v"", ""provenance_path"": ""data/papers/2012/10.1021__sb200003v/publisher.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}]",1,0,0,[],"[""publishedVersion""]",,,0,0,[],4,0,0,0,False,False
doi:10.1021/sb2000066,10.1021/sb2000066,2012,Monitoring Alkane Degradation by Single BioBrick Integration to an Optimal Cellular Framework,True,False,True,True,False,True,True,1,1,0,1,data/papers/2012/10.1021__sb2000066/publisher/paper.pdf,True,"[""data/papers/2012/10.1021__sb2000066/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb2000066/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb2000066/publisher/paper.pdf""]",[],[],"[{""path"": ""data/papers/2012/10.1021__sb2000066/publisher/paper.pdf"", ""source"": ""ACS Publications via CU Boulder EZproxy"", ""version"": ""publishedVersion"", ""hash"": ""a405027a5ec45e6769dfb351fb7a8b4877dbe30b8ba3da4377e1b1bb7238386c"", ""hash_algorithm"": ""sha256"", ""md5"": ""d312b607b428bc75a8fbb8a9c666634d"", ""bytes"": 1657343, ""kind"": ""article_pdf"", ""is_version_of_record"": true, ""source_url"": ""https://pubs-acs-org.colorado.idm.oclc.org/doi/pdf/10.1021/sb2000066"", ""provenance_path"": ""data/papers/2012/10.1021__sb2000066/publisher.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}]",1,0,0,[],"[""publishedVersion""]",,,0,0,[],4,0,0,0,False,False
doi:10.1021/sb200010w,10.1021/sb200010w,2012,Ultrasensitive Synthetic Protein Regulatory Networks Using Mixed Decoys,True,True,True,True,True,True,True,2,1,2,1,data/papers/2012/10.1021__sb200010w/publisher/paper.pdf,True,"[""data/papers/2012/10.1021__sb200010w/publisher/paper.pdf"", ""data/papers/2012/10.1021__sb200010w/versions/pmc_author_manuscript/paper__6b1d7fe1e68d.pdf""]","[""data/papers/2012/10.1021__sb200010w/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200010w/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200010w/pmc/PMC3358930.1.txt"", ""data/papers/2012/10.1021__sb200010w/pmc/PMC3358930.1.xml""]","[""data/papers/2012/10.1021__sb200010w/pmc/PMC3358930.1.txt"", ""data/papers/2012/10.1021__sb200010w/pmc/PMC3358930.1.xml""]","[{""path"": ""data/papers/2012/10.1021__sb200010w/pmc/PMC3358930.1.txt"", ""source"": ""NIH NLM PubMed Central Article Datasets"", ""version"": ""author_manuscript"", ""hash"": ""6bf84809c2d18084c48598104d7d17a2199bac4bca5fceaecb679d1ba5d4cc3f"", ""hash_algorithm"": ""sha256"", ""md5"": ""643906f83026e7bd6448d83c3d77eec5"", ""bytes"": 45594, ""kind"": ""article_text"", ""is_version_of_record"": false, ""source_url"": ""s3://pmc-oa-opendata/PMC3358930.1/PMC3358930.1.txt?md5=643906f83026e7bd6448d83c3d77eec5"", ""provenance_path"": ""data/papers/2012/10.1021__sb200010w/pmc.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}, {""path"": ""data/papers/2012/10.1021__sb200010w/pmc/PMC3358930.1.xml"", ""source"": ""NIH NLM PubMed Central Article Datasets"", ""version"": ""author_manuscript"", ""hash"": ""444056928a3b621bc63e31cdb84a19ec1fd07b5b04f87154bb4d7ae379de34af"", ""hash_algorithm"": ""sha256"", ""md5"": ""279d0487f743cf7828bd98dddfef8148"", ""bytes"": 77079, ""kind"": ""article_xml"", ""is_version_of_record"": false, ""source_url"": ""s3://pmc-oa-opendata/PMC3358930.1/PMC3358930.1.xml?md5=279d0487f743cf7828bd98dddfef8148"", ""provenance_path"": ""data/papers/2012/10.1021__sb200010w/pmc.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}, {""path"": ""data/papers/2012/10.1021__sb200010w/publisher/paper.pdf"", ""source"": ""ACS Publications via CU Boulder EZproxy"", ""version"": ""publishedVersion"", ""hash"": ""a15a3e4b9e48ad2b2753a620ab6a7a73d53541ed854123f1d5e1f17fbca2b57c"", ""hash_algorithm"": ""sha256"", ""md5"": ""fa850dc188d4c95d1383636f5c0d91ee"", ""bytes"": 1530043, ""kind"": ""article_pdf"", ""is_version_of_record"": true, ""source_url"": ""https://pubs-acs-org.colorado.idm.oclc.org/doi/pdf/10.1021/sb200010w"", ""provenance_path"": ""data/papers/2012/10.1021__sb200010w/publisher.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}, {""path"": ""data/papers/2012/10.1021__sb200010w/versions/pmc_author_manuscript/paper__6b1d7fe1e68d.pdf"", ""source"": ""NIH NLM PubMed Central public article page"", ""version"": ""author_manuscript"", ""hash"": ""6b1d7fe1e68d8e2c458b8faa3d3a2c5cbdf8beafd5dabb10ffd0e8cc6bbbbd80"", ""hash_algorithm"": ""sha256"", ""md5"": ""a358a1b4733c4e5e1f8bacb21694dd59"", ""bytes"": 1671493, ""kind"": ""article_pdf"", ""is_version_of_record"": false, ""source_url"": ""https://pmc.ncbi.nlm.nih.gov/articles/PMC3358930/pdf/nihms342503.pdf"", ""provenance_path"": ""data/papers/2012/10.1021__sb200010w/versions/pmc_author_manuscript/metadata__6b1d7fe1e68d.json"", ""verification_status"": ""unverified"", ""verification_errors"": [""The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.""], ""local_file_present"": true}]",3,0,1,"[{""path"": ""data/papers/2012/10.1021__sb200010w/versions/pmc_author_manuscript/paper__6b1d7fe1e68d.pdf"", ""kind"": ""article_pdf"", ""verification_status"": ""unverified"", ""verification_errors"": [""The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.""], ""provenance_path"": ""data/papers/2012/10.1021__sb200010w/versions/pmc_author_manuscript/metadata__6b1d7fe1e68d.json""}]","[""author_manuscript"", ""publishedVersion""]",PMC3358930,author_manuscript_text_already_present,0,0,[],6,0,0,0,False,False
doi:10.1021/sb200008j,10.1021/sb200008j,2012,Engineering a Photoactivated Caspase-7 for Rapid Induction of Apoptosis,True,False,True,True,False,True,True,1,1,0,1,data/papers/2012/10.1021__sb200008j/publisher/paper.pdf,True,"[""data/papers/2012/10.1021__sb200008j/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200008j/publisher/paper.pdf""]","[""data/papers/2012/10.1021__sb200008j/publisher/paper.pdf""]",[],[],"[{""path"": ""data/papers/2012/10.1021__sb200008j/publisher/paper.pdf"", ""source"": ""ACS Publications via CU Boulder EZproxy"", ""version"": ""publishedVersion"", ""hash"": ""af65e08964bad88d7e509c754ff3bde01e054c7115d631daecb40b2a7c687b50"", ""hash_algorithm"": ""sha256"", ""md5"": ""fee4b11efd8669171e0ee98a67f71953"", ""bytes"": 3251924, ""kind"": ""article_pdf"", ""is_version_of_record"": true, ""source_url"": ""https://pubs-acs-org.colorado.idm.oclc.org/doi/pdf/10.1021/sb200008j"", ""provenance_path"": ""data/papers/2012/10.1021__sb200008j/publisher.json"", ""verification_status"": ""verified"", ""verification_errors"": [], ""local_file_present"": true}]",1,0,0,[],"[""publishedVersion""]",,,0,0,[],5,0,0,0,False,False
