record_id,doi,year,title,status,pmcid,versioned_pmcid,pmc_version,pmid,is_pmc_openaccess,is_manuscript,is_retracted,source_version,license_code,package_metadata_url,package_metadata_sha256,pdf_available,xml_available,text_available,media_available_count,image_media_available_count,artifact_downloaded_count,artifact_already_present_count,artifact_failed_count,pdf_local_path,xml_local_path,text_local_path,media_local_paths_json,artifact_checksums_json,xml_url,text_url,limitation,errors_json,manifest_path,retrieved_at
doi:10.1021/sb200001q,10.1021/sb200001q,2012,Engineering Artificial Small RNAs for Conditional Gene Silencing in Escherichia coli,not_in_pmc,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,"[""Identifier not found in PMC""]",,
doi:10.1021/sb200002m,10.1021/sb200002m,2012,A Comparison of Two Strategies for Affinity Maturation of a BH3 Peptide toward Pro-Survival Bcl-2 Proteins,not_in_pmc,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,"[""Identifier not found in PMC""]",,
doi:10.1021/sb200003v,10.1021/sb200003v,2012,Assembly of MreB Filaments on Liposome Membranes: A Synthetic Biology Approach,not_in_pmc,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,"[""Identifier not found in PMC""]",,
doi:10.1021/sb200005w,10.1021/sb200005w,2012,Feedback Control of Protein Expression in Mammalian Cells by Tunable Synthetic Translational Inhibition,already_present,PMC4165468,PMC4165468.1,1,23651072,True,False,False,published_version,,https://pmc-oa-opendata.s3.amazonaws.com/metadata/PMC4165468.1.json,e1859fcb2cfff5bec4a61e0a0c1b7ca80af1ce9d82416d0c7ee81163b7c35ac0,True,True,True,8,7,0,11,0,data/papers/2012/10.1021__sb200005w/paper.pdf,data/papers/2012/10.1021__sb200005w/pmc/PMC4165468.1.xml,data/papers/2012/10.1021__sb200005w/pmc/PMC4165468.1.txt,"[""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_0001.jpg"", ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_0002.jpg"", ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_0003.jpg"", ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_0004.jpg"", ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_m001.jpg"", ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_m002.jpg"", ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_m003.jpg"", ""data/papers/2012/10.1021__sb200005w/media/sb200005w_si_001.pdf""]","[{""local_path"": ""data/papers/2012/10.1021__sb200005w/paper.pdf"", ""md5"": ""8b9ca1e48f8069932e7ebd1dd7951524"", ""sha256"": ""453cdda1256bfc852345043f11303255977365cfc19efc2c908400d695aac1a1""}, {""local_path"": ""data/papers/2012/10.1021__sb200005w/pmc/PMC4165468.1.xml"", ""md5"": ""e8350cf21b5ae1ecbd25c6c219b01197"", ""sha256"": ""a67a441512380a53a07e98d0d9a949f3ea6a515664a89c384cf91555d4704082""}, {""local_path"": ""data/papers/2012/10.1021__sb200005w/pmc/PMC4165468.1.txt"", ""md5"": ""8a568de8eca57c4a3192d2b5fe70494a"", ""sha256"": ""12643bd7e90fee72b2a9bc1d4c756cd867a7a670c8572fc6eb98b04e66fff012""}, {""local_path"": ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_0001.jpg"", ""md5"": ""92972a6f512754d950827ef5734def7e"", ""sha256"": ""bba241d427b8ae45b2466571fef4e994b15af79b2c13227cd7d76305312d2c7c""}, {""local_path"": ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_0002.jpg"", ""md5"": ""155fea6fb679f25b0672948459fecbbd"", ""sha256"": ""e1e84df342892591b1183abf4653cc1e9163f5f877e99ce73bcb3069ba56af8b""}, {""local_path"": ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_0003.jpg"", ""md5"": ""246a3c6e9519de65dccbb74c63b75c7e"", ""sha256"": ""42b4885caf9c329584c4ee6b3140c8a559db8ddfd5459b6c38c7d71dca887cd4""}, {""local_path"": ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_0004.jpg"", ""md5"": ""6464a3926b67b028c702327f5ac77f02"", ""sha256"": ""108147eded46ed3f1abd51c1c46d24312c7440c5ea2de302378385807787681f""}, {""local_path"": ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_m001.jpg"", ""md5"": ""9592e08ef0d2daab6e9d5ece2dd2218c"", ""sha256"": ""eb3081da132b73b3e7f3d8fdcf018707362c88e86ed9b3fdc31b751d2d16261e""}, {""local_path"": ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_m002.jpg"", ""md5"": ""f5ab549df0f6193a26461f92c712c87e"", ""sha256"": ""f2fb624a6130b290a8a17032bde16f1f9355b7f3882fc6618bff5b7b641ec01e""}, {""local_path"": ""data/papers/2012/10.1021__sb200005w/media/sb-2011-00005w_m003.jpg"", ""md5"": ""2f857c5feb68f6e5783df293592929f0"", ""sha256"": ""ca8e78df455ebf4a5884e7a453bef0be0d781337322ecc05279525daf6ce4540""}, {""local_path"": ""data/papers/2012/10.1021__sb200005w/media/sb200005w_si_001.pdf"", ""md5"": ""a2c2cac534c091baa04389cca9d2e160"", ""sha256"": ""f235bf529ef7b9c708b306eafe765d53f4d0b7b139b800bdd7ccb63aa7616e1e""}]",s3://pmc-oa-opendata/PMC4165468.1/PMC4165468.1.xml?md5=e8350cf21b5ae1ecbd25c6c219b01197,s3://pmc-oa-opendata/PMC4165468.1/PMC4165468.1.txt?md5=8a568de8eca57c4a3192d2b5fe70494a,,[],data/papers/2012/10.1021__sb200005w/pmc.json,2026-09-03T03:41:37+00:00
doi:10.1021/sb2000066,10.1021/sb2000066,2012,Monitoring Alkane Degradation by Single BioBrick Integration to an Optimal Cellular Framework,not_in_pmc,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,"[""Identifier not found in PMC""]",,
doi:10.1021/sb200007r,10.1021/sb200007r,2012,Parts-Based Assembly of Synthetic Transmembrane Proteins in Mammalian Cells,not_in_pmc,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,"[""Identifier not found in PMC""]",,
doi:10.1021/sb200008j,10.1021/sb200008j,2012,Engineering a Photoactivated Caspase-7 for Rapid Induction of Apoptosis,not_in_pmc,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,"[""Identifier not found in PMC""]",,
doi:10.1021/sb200010w,10.1021/sb200010w,2012,Ultrasensitive Synthetic Protein Regulatory Networks Using Mixed Decoys,author_manuscript_text_already_present,PMC3358930,PMC3358930.1,1,22639735,False,True,False,author_manuscript,TDM,https://pmc-oa-opendata.s3.amazonaws.com/metadata/PMC3358930.1.json,8ccc927d05b2c47924c7157a8fd410da814121e14b2e19825fcc6afe2c25a726,False,True,True,0,0,0,2,0,,data/papers/2012/10.1021__sb200010w/pmc/PMC3358930.1.xml,data/papers/2012/10.1021__sb200010w/pmc/PMC3358930.1.txt,[],"[{""local_path"": ""data/papers/2012/10.1021__sb200010w/pmc/PMC3358930.1.xml"", ""md5"": ""279d0487f743cf7828bd98dddfef8148"", ""sha256"": ""444056928a3b621bc63e31cdb84a19ec1fd07b5b04f87154bb4d7ae379de34af""}, {""local_path"": ""data/papers/2012/10.1021__sb200010w/pmc/PMC3358930.1.txt"", ""md5"": ""643906f83026e7bd6448d83c3d77eec5"", ""sha256"": ""6bf84809c2d18084c48598104d7d17a2199bac4bca5fceaecb679d1ba5d4cc3f""}]",s3://pmc-oa-opendata/PMC3358930.1/PMC3358930.1.xml?md5=279d0487f743cf7828bd98dddfef8148,s3://pmc-oa-opendata/PMC3358930.1/PMC3358930.1.txt?md5=643906f83026e7bd6448d83c3d77eec5,"PMC does not distribute PDF, media, or supplementary files for this non-open author manuscript; the available XML and plain text were acquired instead.",[],data/papers/2012/10.1021__sb200010w/pmc.json,2026-09-03T03:41:37+00:00
doi:10.1021/sb2000116,10.1021/sb2000116,2012,j5 DNA Assembly Design Automation Software,not_in_pmc,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,"[""Identifier not found in PMC""]",,
doi:10.1021/sb200013j,10.1021/sb200013j,2012,Cloning the Acholeplasma laidlawii PG-8A Genome in Saccharomyces cerevisiae as a Yeast Centromeric Plasmid,not_in_pmc,,,,,,,,,,,,,,,,,,,,,,,[],[],,,,"[""Identifier not found in PMC""]",,
