record_id,doi,year,title,status,pmcid,versioned_pmcid,local_path,retrieved_at,source_url,resolved_url,source_landing_page_url,source_landing_page_snapshot_path,source_landing_page_snapshot_sha256,source_landing_page_snapshot_bytes,source_name,source_version,requested_version,version_assertion_method,source_version_assertion_method,historical_evaluated_edition_relation,historical_evaluated_edition_equivalence_asserted,transport_provenance_verification_status,transport_provenance_limitation,source_license,source_access,pmc_manifest_path,pmc_manifest_sha256,pmc_manifest_original_path,pmc_package_metadata_snapshot_path,pmc_package_metadata_snapshot_sha256,pmc_package_metadata_snapshot_bytes,pmc_article_xml_original_path,pmc_article_xml_snapshot_path,pmc_article_xml_snapshot_sha256,pmc_article_xml_snapshot_bytes,bytes,sha256,page_count,artifact_type,identity_check,title_similarity,error
doi:10.1021/sb200010w,10.1021/sb200010w,2012,Ultrasensitive Synthetic Protein Regulatory Networks Using Mixed Decoys,already_present,PMC3358930,PMC3358930.1,data/papers/2012/10.1021__sb200010w/versions/pmc_author_manuscript/paper__6b1d7fe1e68d.pdf,2026-09-03T04:36:19+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC3358930/pdf/nihms342503.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3358930/pdf/nihms342503.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3358930/,data/papers/2012/10.1021__sb200010w/versions/pmc_author_manuscript/source_page__774936f098ce.html,774936f098ce5161f2c2f85ea98ae353d0ee9bd645a6bab7485b1fd0b3e2870c,175014,NIH NLM PubMed Central public article page,author_manuscript,,upstream_metadata,pmc_acquisition_manifest,not_established,False,browser_supplied_unverified,The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.,,public PMC browser session with same-origin cookies,data/papers/2012/10.1021__sb200010w/versions/pmc_author_manuscript/pmc_manifest__34d15984a149.json,34d15984a149269bbc0b27efebe664b39d187bedc58789d123d99e00a0633af8,data/papers/2012/10.1021__sb200010w/pmc.json,data/papers/2012/10.1021__sb200010w/versions/pmc_author_manuscript/pmc_package_metadata__8ccc927d05b2.json,8ccc927d05b2c47924c7157a8fd410da814121e14b2e19825fcc6afe2c25a726,599,,,,,1671493,6b1d7fe1e68d8e2c458b8faa3d3a2c5cbdf8beafd5dabb10ffd0e8cc6bbbbd80,17,article_pdf,doi,1.0,
doi:10.1021/sb200018e,10.1021/sb200018e,2012,Proteins from an Unevolved Library of de novo Designed Sequences Bind a Range of Small Molecules,already_present,PMC4104770,PMC4104770.1,data/papers/2012/10.1021__sb200018e/versions/pmc_author_manuscript/paper__217e912347a3.pdf,2026-09-03T04:55:21+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC4104770/pdf/nihms-367265.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC4104770/pdf/nihms-367265.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC4104770/,data/papers/2012/10.1021__sb200018e/versions/pmc_author_manuscript/source_page__6e8f563dbe77.html,6e8f563dbe775e649ed6e57e86981fb85b382ea7fb098ff8de077793c6b52711,206841,NIH NLM PubMed Central public article page,author_manuscript,,upstream_metadata,pmc_acquisition_manifest,not_established,False,browser_supplied_unverified,The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.,,public PMC browser session with same-origin cookies,data/papers/2012/10.1021__sb200018e/versions/pmc_author_manuscript/pmc_manifest__26353d838937.json,26353d8389372abd2757bc3a99c937c7d28f611b335c820852003d02d0d3ee2f,data/papers/2012/10.1021__sb200018e/pmc.json,data/papers/2012/10.1021__sb200018e/versions/pmc_author_manuscript/pmc_package_metadata__50a1ce9b2915.json,50a1ce9b2915d98bdeeb2e1af3ad968afa59507dfdac42f1e48d44d81c7daad2,624,,,,,1387683,217e912347a3d3b7241926cd5fb7016a0b6ec1b6a656f82d714f691acccc3807,21,article_pdf,doi,1.0,
doi:10.1021/sb3000029,10.1021/sb3000029,2012,Multiplexed in Vivo His-Tagging of Enzyme Pathways for in Vitro Single-Pot Multienzyme Catalysis,already_present,PMC3377159,PMC3377159.1,data/papers/2012/10.1021__sb3000029/versions/pmc_author_manuscript/paper__5713df0a56ca.pdf,2026-09-03T04:36:18+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC3377159/pdf/nihms355213.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3377159/pdf/nihms355213.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3377159/,data/papers/2012/10.1021__sb3000029/versions/pmc_author_manuscript/source_page__e87621f1e081.html,e87621f1e0817459eb238717abd3b4d3e8e55f7f02c6135a612e901006c5576c,241063,NIH NLM PubMed Central public article page,author_manuscript,,upstream_metadata,pmc_acquisition_manifest,not_established,False,browser_supplied_unverified,The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.,,public PMC browser session with same-origin cookies,data/papers/2012/10.1021__sb3000029/versions/pmc_author_manuscript/pmc_manifest__27951fba61f6.json,27951fba61f62a5aa018f0a575dee9db8151aca671460ef0dd3752b77ce9deec,data/papers/2012/10.1021__sb3000029/pmc.json,data/papers/2012/10.1021__sb3000029/versions/pmc_author_manuscript/pmc_package_metadata__0494ee6c94ce.json,0494ee6c94ce355601c4ae8c1d42072037c711e9264d7ddf7721af9c0630325c,625,,,,,1126934,5713df0a56ca3366a0d10804db04f9a62119bc114fbc1d2e41171bff23d09a3e,19,article_pdf,doi,1.0,
doi:10.1021/sb3000035,10.1021/sb3000035,2012,A Sensitive Switch for Visualizing Natural Gene Silencing in Single Cells,already_present,PMC3331714,PMC3331714.1,data/papers/2012/10.1021__sb3000035/versions/pmc_author_manuscript/paper__db5461fcc030.pdf,2026-09-03T04:36:21+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC3331714/pdf/nihms362314.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3331714/pdf/nihms362314.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3331714/,data/papers/2012/10.1021__sb3000035/versions/pmc_author_manuscript/source_page__4428f6b7b4d0.html,4428f6b7b4d03884cda7fae4c95ce5b0325bfe187c3850fe8d542d84b6ebf8e1,162582,NIH NLM PubMed Central public article page,author_manuscript,,upstream_metadata,pmc_acquisition_manifest,not_established,False,browser_supplied_unverified,The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.,,public PMC browser session with same-origin cookies,data/papers/2012/10.1021__sb3000035/versions/pmc_author_manuscript/pmc_manifest__ad70e0117093.json,ad70e0117093fbc4e4ef26b081c0bdccab2ca33d024c139d88963e9fa12b3ed3,data/papers/2012/10.1021__sb3000035/pmc.json,data/papers/2012/10.1021__sb3000035/versions/pmc_author_manuscript/pmc_package_metadata__ab46befeac3c.json,ab46befeac3c195d42bb57fd8d1d876b3cb3eca552889b738ece2e6513936df7,601,,,,,2868361,db5461fcc030d2c99944b5e22434f1b41bcfc2ba0ee8083cea713fe1d7a948e1,14,article_pdf,doi,1.0,
doi:10.1021/sb300014t,10.1021/sb300014t,2012,SCHEMA-Designed Variants of Human Arginase I and II Reveal Sequence Elements Important to Stability and Catalysis,already_present,PMC3378063,PMC3378063.1,data/papers/2012/10.1021__sb300014t/versions/pmc_author_manuscript/paper__3333bd98bb11.pdf,2026-09-03T05:28:30+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC3378063/pdf/nihms-369862.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3378063/pdf/nihms-369862.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3378063/,,,,NIH NLM PubMed Central public article page,author_manuscript,,upstream_metadata,pmc_acquisition_manifest,not_established,False,browser_supplied_unverified,The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.,,public PMC browser session with same-origin cookies,data/papers/2012/10.1021__sb300014t/versions/pmc_author_manuscript/pmc_manifest__dbf90e755e10.json,dbf90e755e103772a3c4afa7e62fee8792513805d17e600f2553c7bafdd6b9bd,data/papers/2012/10.1021__sb300014t/pmc.json,data/papers/2012/10.1021__sb300014t/versions/pmc_author_manuscript/pmc_package_metadata__ba91ce7e9def.json,ba91ce7e9defc33d0bdb576ce94ead42aa57e8ed1d2e6b19bc0b350d2b0b3b3a,639,data/papers/2012/10.1021__sb300014t/pmc/PMC3378063.1.xml,data/papers/2012/10.1021__sb300014t/versions/pmc_author_manuscript/pmc_article_xml__70a95130ab17.xml,70a95130ab176f736eb2c7885b84e621afcb2987b8efcfed2e7967c7099d4f5d,112722,835332,3333bd98bb11017fc95b9f420a71ff55c2d39a8d126f638831398693c4e08c57,19,article_pdf,doi,0.984293,
doi:10.1021/sb300036z,10.1021/sb300036z,2012,Promoting Collaborative Interdisciplinary Research at the Duke Center for Systems Biology,already_present,PMC3809907,PMC3809907.1,data/papers/2012/10.1021__sb300036z/versions/pmc_author_manuscript/paper__f195d2b3a809.pdf,2026-09-03T05:28:28+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC3809907/pdf/nihms378495.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3809907/pdf/nihms378495.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3809907/,,,,NIH NLM PubMed Central public article page,author_manuscript,,upstream_metadata,pmc_acquisition_manifest,not_established,False,browser_supplied_unverified,The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.,,public PMC browser session with same-origin cookies,data/papers/2012/10.1021__sb300036z/versions/pmc_author_manuscript/pmc_manifest__ee5a228cd35d.json,ee5a228cd35d38f3c142febec67304e84d02a314aeaf37753c911e6fa938efbe,data/papers/2012/10.1021__sb300036z/pmc.json,data/papers/2012/10.1021__sb300036z/versions/pmc_author_manuscript/pmc_package_metadata__6c387bf9cdf0.json,6c387bf9cdf0a3fb1b33be6d534dfd017ac42d0d27a8a99224796541ecf41ed8,617,data/papers/2012/10.1021__sb300036z/pmc/PMC3809907.1.xml,data/papers/2012/10.1021__sb300036z/versions/pmc_author_manuscript/pmc_article_xml__0f95cf7e7313.xml,0f95cf7e7313f708ec54e5f2ff33e926b04134129b315982ec5ff2964e9390d5,22620,643384,f195d2b3a809e5d6d56370724183ae7848232048864c05683b298151edd6455c,6,article_pdf,doi,1.0,
doi:10.1021/sb3000436,10.1021/sb3000436,2012,Organization of Synthetic Alphoid DNA Array in Human Artificial Chromosome (HAC) with a Conditional Centromere,already_present,PMC3568986,PMC3568986.1,data/papers/2012/10.1021__sb3000436/versions/pmc_author_manuscript/paper__61da7211b179.pdf,2026-09-03T05:28:36+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC3568986/pdf/nihms390503.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3568986/pdf/nihms390503.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3568986/,,,,NIH NLM PubMed Central public article page,author_manuscript,,upstream_metadata,pmc_acquisition_manifest,not_established,False,browser_supplied_unverified,The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.,,public PMC browser session with same-origin cookies,data/papers/2012/10.1021__sb3000436/versions/pmc_author_manuscript/pmc_manifest__a9650c990250.json,a9650c99025028dce6eebdef67888aeef6da99fd95ae29bf9d07fa9715874005,data/papers/2012/10.1021__sb3000436/pmc.json,data/papers/2012/10.1021__sb3000436/versions/pmc_author_manuscript/pmc_package_metadata__acca65ff7977.json,acca65ff7977852a9c5507704fa36092277597b3bab7cf4a2a3b7b257147251e,638,data/papers/2012/10.1021__sb3000436/pmc/PMC3568986.1.xml,data/papers/2012/10.1021__sb3000436/versions/pmc_author_manuscript/pmc_article_xml__e5355a9828fc.xml,e5355a9828fca985795119b7a1f1e77c3f96f9c11d8cfcbb2782ae209e09bcce,150694,3951792,61da7211b17965d7d080f80286fbdac40e4f5d22cf702adf88513d095f0ae549,27,article_pdf,doi,1.0,
doi:10.1021/sb300044r,10.1021/sb300044r,2012,A Synthetic Biology Approach to Understanding Cellular Information Processing,already_present,PMC3568971,PMC3568971.1,data/papers/2012/10.1021__sb300044r/versions/pmc_author_manuscript/paper__f66bc249d027.pdf,2026-09-03T04:36:25+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC3568971/pdf/nihms383525.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3568971/pdf/nihms383525.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3568971/,data/papers/2012/10.1021__sb300044r/versions/pmc_author_manuscript/source_page__d362e0dfcfa2.html,d362e0dfcfa25e2831a5fa8a63895e2ef3e0c762cb789989fdccfe9083770950,297413,NIH NLM PubMed Central public article page,author_manuscript,,upstream_metadata,pmc_acquisition_manifest,not_established,False,browser_supplied_unverified,The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.,,public PMC browser session with same-origin cookies,data/papers/2012/10.1021__sb300044r/versions/pmc_author_manuscript/pmc_manifest__637700fadbb9.json,637700fadbb93c52e90e445a52bfb12c29cb4d568901b799073ec9ee7ce1fb5c,data/papers/2012/10.1021__sb300044r/pmc.json,data/papers/2012/10.1021__sb300044r/versions/pmc_author_manuscript/pmc_package_metadata__e51f07c7c630.json,e51f07c7c63029bd55c9bf5bfc7e51edf5a72528ae388485903cdc3efc7f407f,605,,,,,2047892,f66bc249d027d7b7a53a9a746cee626bb841f961114f7ff1694d9c804e70bb02,25,article_pdf,doi,1.0,
doi:10.1021/sb300050j,10.1021/sb300050j,2012,Dimerization-Dependent Green and Yellow Fluorescent Proteins,already_present,PMC3653836,,data/papers/2012/10.1021__sb300050j/versions/pmc_author_manuscript/paper__3b47c0890cd5.pdf,2026-09-03T04:36:28+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC3653836/pdf/nihms2613.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3653836/pdf/nihms2613.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3653836/,data/papers/2012/10.1021__sb300050j/versions/pmc_author_manuscript/source_page__da81e008e3db.html,da81e008e3db2a63d7374bc8c729119428652144ce42bc0f99d05907173a54d6,164219,NIH NLM PubMed Central public article page,author_manuscript,,upstream_metadata,pmc_nihms_pdf_basename,not_established,False,browser_supplied_unverified,The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.,,public PMC browser session with same-origin cookies,,,,,,,,,,,640377,3b47c0890cd5fa115594aef7b7a37e1cd9984c3aa70b8e9f700a1b99ea15b844,16,article_pdf,doi,1.0,
doi:10.1021/sb300052u,10.1021/sb300052u,2012,Refactored M13 Bacteriophage as a Platform for Tumor Cell Imaging and Drug Delivery,already_present,PMC3905571,PMC3905571.1,data/papers/2012/10.1021__sb300052u/versions/pmc_author_manuscript/paper__deb1ad664b7e.pdf,2026-09-03T04:36:30+00:00,https://pmc.ncbi.nlm.nih.gov/articles/PMC3905571/pdf/nihms-410222.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3905571/pdf/nihms-410222.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC3905571/,data/papers/2012/10.1021__sb300052u/versions/pmc_author_manuscript/source_page__813a1099037b.html,813a1099037b7c59da93f45c52c506be462fea8aec13bb01214ea8401b8ee421,172165,NIH NLM PubMed Central public article page,author_manuscript,,upstream_metadata,pmc_acquisition_manifest,not_established,False,browser_supplied_unverified,The loopback bridge verifies the PDF's DOI/title identity but cannot independently prove that browser-supplied bytes came from the recorded source URL.,,public PMC browser session with same-origin cookies,data/papers/2012/10.1021__sb300052u/versions/pmc_author_manuscript/pmc_manifest__ff347af0b4df.json,ff347af0b4dfbaa6ce9c9d4bab97bfdc1c72695167269194493ec2f8b64f3a90,data/papers/2012/10.1021__sb300052u/pmc.json,data/papers/2012/10.1021__sb300052u/versions/pmc_author_manuscript/pmc_package_metadata__a457f3fe2ca4.json,a457f3fe2ca41df4ec7b6f1be4c46882d7331bc34dbda15af22ec7ca7cb833bf,611,,,,,963727,deb1ad664b7ebdb7a60970bcd97f9e0e0e548de3187bf8a6486348c720d5a136,13,article_pdf,doi,1.0,
